case,detection_rate,detected,total
BS-016,88.88888888888889,8,9
BS-030,55.55555555555556,5,9
BS-043,100.0,9,9
BS-044,88.88888888888889,8,9
BS-056,100.0,9,9
BS-066,100.0,9,9
BS-073,100.0,9,9
BS-082,100.0,9,9
BS-087,77.77777777777779,7,9
BS-093,22.22222222222222,2,9
BS-098,100.0,9,9
BS-116,66.66666666666666,6,9
BS-149,66.66666666666666,6,9
BS-170,100.0,9,9
BS-186,88.88888888888889,8,9
BS-202,88.88888888888889,8,9
BS-241,100.0,9,9
BS-270,88.88888888888889,8,9
BS-316,77.77777777777779,7,9
BS-330,88.88888888888889,8,9
BS-338,100.0,9,9
BS-354,77.77777777777779,7,9
BS-360,88.88888888888889,8,9
BS-376,100.0,9,9
BS-377,77.77777777777779,7,9
BS-409,100.0,9,9
BS-415,100.0,9,9
BS-419,88.88888888888889,8,9
BS-435,88.88888888888889,8,9
BS-451,100.0,9,9
BS-460,100.0,9,9
BS-472,88.88888888888889,8,9
BS-524,77.77777777777779,7,9
BS-532,100.0,9,9
BS-538,100.0,9,9
BS-540,100.0,9,9
BS-541,55.55555555555556,5,9
BS-543,100.0,9,9
BS-577,88.88888888888889,8,9
BS-585,88.88888888888889,8,9
