case,detection_rate,detected,total
BS-005,100.0,9,9
BS-009,100.0,9,9
BS-010,100.0,9,9
BS-013,77.77777777777779,7,9
BS-014,100.0,9,9
BS-015,100.0,9,9
BS-017,88.88888888888889,8,9
BS-021,100.0,9,9
BS-022,100.0,9,9
BS-026,100.0,9,9
BS-031,88.88888888888889,8,9
BS-034,66.66666666666666,6,9
BS-048,100.0,9,9
BS-051,100.0,9,9
BS-057,100.0,9,9
BS-059,100.0,9,9
BS-067,100.0,9,9
BS-072,100.0,9,9
BS-076,100.0,9,9
BS-077,77.77777777777779,7,9
BS-083,100.0,9,9
BS-085,100.0,9,9
BS-089,88.88888888888889,8,9
BS-090,100.0,9,9
BS-091,100.0,9,9
BS-092,100.0,9,9
BS-096,100.0,9,9
BS-104,100.0,9,9
BS-120,100.0,9,9
BS-121,100.0,9,9
BS-124,100.0,9,9
BS-125,100.0,9,9
BS-129,100.0,9,9
BS-130,88.88888888888889,8,9
BS-132,100.0,9,9
BS-136,100.0,9,9
BS-137,100.0,9,9
BS-138,100.0,9,9
BS-140,100.0,9,9
BS-141,100.0,9,9
BS-143,88.88888888888889,8,9
BS-144,100.0,9,9
BS-145,100.0,9,9
BS-148,88.88888888888889,8,9
BS-151,33.33333333333333,3,9
BS-152,100.0,9,9
BS-153,100.0,9,9
BS-154,100.0,9,9
BS-155,100.0,9,9
BS-158,100.0,9,9
BS-162,88.88888888888889,8,9
BS-164,100.0,9,9
BS-171,100.0,9,9
BS-177,100.0,9,9
BS-179,100.0,9,9
BS-180,100.0,9,9
BS-181,100.0,9,9
BS-182,100.0,9,9
BS-190,100.0,9,9
BS-194,100.0,9,9
BS-195,100.0,9,9
BS-196,100.0,9,9
BS-201,100.0,9,9
BS-207,77.77777777777779,7,9
BS-215,100.0,9,9
BS-216,100.0,9,9
BS-217,100.0,9,9
BS-224,100.0,9,9
BS-242,100.0,9,9
BS-243,100.0,9,9
BS-244,100.0,9,9
BS-245,100.0,9,9
BS-247,100.0,9,9
BS-250,77.77777777777779,7,9
BS-262,100.0,9,9
BS-264,100.0,9,9
BS-279,100.0,9,9
BS-281,100.0,9,9
BS-282,100.0,9,9
BS-285,100.0,9,9
BS-286,77.77777777777779,7,9
BS-287,100.0,9,9
BS-288,100.0,9,9
BS-290,100.0,9,9
BS-293,100.0,9,9
BS-306,100.0,9,9
BS-308,100.0,9,9
BS-324,100.0,9,9
BS-325,100.0,9,9
BS-334,100.0,9,9
BS-336,100.0,9,9
BS-337,100.0,9,9
BS-3399,100.0,9,9
BS-348,100.0,9,9
BS-349,100.0,9,9
BS-351,100.0,9,9
BS-355,100.0,9,9
BS-361,100.0,9,9
BS-365,100.0,9,9
BS-370,100.0,9,9
BS-373,100.0,9,9
BS-374,100.0,9,9
BS-383,100.0,9,9
BS-386,100.0,9,9
BS-390,100.0,9,9
BS-393,100.0,9,9
BS-394,100.0,9,9
BS-400,100.0,9,9
BS-401,100.0,9,9
BS-402,100.0,9,9
BS-410,100.0,9,9
BS-411,100.0,9,9
BS-418,100.0,9,9
BS-421,100.0,9,9
BS-424,100.0,9,9
BS-425,100.0,9,9
BS-426,100.0,9,9
BS-429,100.0,9,9
BS-431,100.0,9,9
BS-433,100.0,9,9
BS-434,100.0,9,9
BS-437,100.0,9,9
BS-439,100.0,9,9
BS-441,100.0,9,9
BS-442,100.0,9,9
BS-455,100.0,9,9
BS-456,100.0,9,9
BS-458,88.88888888888889,8,9
BS-459,100.0,9,9
BS-477,100.0,9,9
BS-482,100.0,9,9
BS-483,100.0,9,9
BS-486,100.0,9,9
BS-489,100.0,9,9
BS-504,100.0,9,9
BS-508,100.0,9,9
BS-510,100.0,9,9
BS-512,100.0,9,9
BS-520,100.0,9,9
BS-525,100.0,9,9
BS-534,100.0,9,9
BS-539,100.0,9,9
BS-545,100.0,9,9
BS-548,100.0,9,9
BS-549,100.0,9,9
BS-556,100.0,9,9
BS-558,100.0,9,9
BS-559,100.0,9,9
BS-560,100.0,9,9
BS-563,100.0,9,9
BS-567,100.0,9,9
BS-568,100.0,9,9
BS-569,100.0,9,9
BS-570,100.0,9,9
BS-572,100.0,9,9
BS-573,100.0,9,9
BS-579,100.0,9,9
BS-580,100.0,9,9
BS-592,100.0,9,9
BS-593,100.0,9,9
BS-600,100.0,9,9
BS-603,100.0,9,9
BS-607,100.0,9,9
